ProductID,ProductName,Category,Price,Barcode
1,Chase Up Detergent 1696g,Household,3037,890100000001
2,Daily Milk Hand Wash 1557g,Household,1373,890100000002
3,Sunflower Yogurt 961ml,Dairy,2958,890100000003
4,Sunflower Soap 801g,Household,2575,890100000004
5,Dairy Fresh Butter 1728ml,Dairy,938,890100000005
6,Dairy Fresh Juice 406ml,Beverages,2727,890100000006
7,Gujranwala Energy Drink 1748ml,Beverages,2571,890100000007
8,Chase Up Sanitizer 431g,Personal Care,1864,890100000008
9,Gujranwala Sanitizer 1355g,Personal Care,4604,890100000009
10,Nature's Best Soap 1587g,Household,2687,890100000010
11,Nature's Best Shampoo 1782g,Personal Care,4661,890100000011
12,Dairy Fresh Soap 101g,Household,4951,890100000012
13,Daily Milk Biscuits 388g,Snacks,3588,890100000013
14,Chase Up Soap 683g,Personal Care,4329,890100000014
15,Nestle Milk 348ml,Dairy,4986,890100000015
16,Sunflower Chocolate 611g,Snacks,3718,890100000016
17,Daily Milk Coffee 717ml,Beverages,4462,890100000017
18,Gujranwala Oats 1346g,Grains & Rice,2718,890100000018
19,Sunflower Butter 1986ml,Dairy,4981,890100000019
20,Sunflower Corn Flour 732g,Grains & Rice,2086,890100000020
21,Chase Up Wheat Flour 972g,Grains & Rice,4304,890100000021
22,Chase Up Juice 1348ml,Beverages,4558,890100000022
23,Nature's Best Oats 1458g,Grains & Rice,2622,890100000023
24,Nestle Toothpaste 1978g,Personal Care,3450,890100000024
25,Nestle Dishwashing Liquid 451g,Household,1503,890100000025
26,Gujranwala Cookies 803g,Snacks,4687,890100000026
27,Dairy Fresh Shampoo 1732g,Personal Care,3180,890100000027
28,Dairy Fresh Sanitizer 1788g,Personal Care,449,890100000028
29,Sunflower Chocolate 1303g,Snacks,1071,890100000029
30,Gujranwala Chips 1772g,Snacks,317,890100000030
31,Chase Up Juice 1449ml,Beverages,1826,890100000031
32,Dairy Fresh Basmati Rice 1574g,Grains & Rice,3907,890100000032
33,Sunflower Oats 1400g,Grains & Rice,3404,890100000033
34,Daily Milk Toothpaste 687g,Personal Care,961,890100000034
35,Happy Farm Maize 1371g,Grains & Rice,1867,890100000035
36,Gujranwala Wheat Flour 1844g,Grains & Rice,1436,890100000036
37,Gujranwala Cheese 252ml,Dairy,2127,890100000037
38,Chase Up Cookies 265g,Snacks,360,890100000038
39,Sunflower Energy Drink 567ml,Beverages,1704,890100000039
40,Happy Farm Shampoo 185g,Personal Care,4988,890100000040
41,Nature's Best Wheat Flour 1258g,Grains & Rice,2699,890100000041
42,Happy Farm Yogurt 832ml,Dairy,1555,890100000042
43,Daily Milk Nuts 783g,Snacks,4575,890100000043
44,Daily Milk Cookies 1720g,Snacks,3059,890100000044
45,Dairy Fresh Toothpaste 1883g,Personal Care,4696,890100000045
46,Sunflower Soap 922g,Household,4279,890100000046
47,Chase Up Detergent 573g,Household,1817,890100000047
48,Gujranwala Wheat Flour 562g,Grains & Rice,827,890100000048
49,Nestle Chips 105g,Snacks,2110,890100000049
50,Chase Up Wheat Flour 106g,Grains & Rice,970,890100000050
51,Dairy Fresh Soap 1939g,Personal Care,2659,890100000051
52,Daily Milk Cleaning Powder 345g,Household,714,890100000052
53,Nestle Hand Wash 109g,Household,3146,890100000053
54,Nature's Best Wheat Flour 1493g,Grains & Rice,2177,890100000054
55,Chase Up Nuts 564g,Snacks,1588,890100000055
56,Sunflower Dishwashing Liquid 744g,Household,3267,890100000056
57,Dairy Fresh Energy Drink 1789ml,Beverages,535,890100000057
58,Sunflower Chips 1196g,Snacks,2838,890100000058
59,Nature's Best Energy Drink 1880ml,Beverages,3840,890100000059
60,Daily Milk Sanitizer 1821g,Personal Care,2025,890100000060
61,Chase Up Milk Powder 1259ml,Dairy,970,890100000061
62,Nestle Cookies 1889g,Snacks,3427,890100000062
63,Happy Farm Oats 1945g,Grains & Rice,1109,890100000063
64,Gujranwala Detergent 1348g,Household,368,890100000064
65,Happy Farm Sanitizer 1201g,Personal Care,2405,890100000065
66,Happy Farm Juice 1115ml,Beverages,852,890100000066
67,Gujranwala Yogurt 1923ml,Dairy,2459,890100000067
68,Dairy Fresh Energy Drink 1804ml,Beverages,3546,890100000068
69,Nestle Tea 1115ml,Beverages,558,890100000069
70,Sunflower Biscuits 1782g,Snacks,4395,890100000070
71,Nature's Best Chocolate 468g,Snacks,1782,890100000071
72,Gujranwala Hand Wash 1965g,Household,1974,890100000072
73,Happy Farm Chocolate 926g,Snacks,1554,890100000073
74,Sunflower Toothpaste 1183g,Personal Care,2501,890100000074
75,Nestle Tea 355ml,Beverages,217,890100000075
76,Sunflower Detergent 751g,Household,1961,890100000076
77,Daily Milk Cookies 385g,Snacks,604,890100000077
78,Happy Farm Yogurt 1157ml,Dairy,665,890100000078
79,Happy Farm Milk Powder 1388ml,Dairy,4602,890100000079
80,Happy Farm Milk Powder 956ml,Dairy,4995,890100000080
81,Gujranwala Biscuits 275g,Snacks,4614,890100000081
82,Dairy Fresh Cheese 380ml,Dairy,1669,890100000082
83,Daily Milk Chips 1456g,Snacks,3577,890100000083
84,Happy Farm Milk 1523ml,Dairy,231,890100000084
85,Chase Up Lotion 1106g,Personal Care,4291,890100000085
86,Happy Farm Lotion 840g,Personal Care,1256,890100000086
87,Dairy Fresh Basmati Rice 1331g,Grains & Rice,2355,890100000087
88,Happy Farm Detergent 1344g,Household,290,890100000088
89,Nestle Maize 743g,Grains & Rice,1455,890100000089
90,Dairy Fresh Cleaning Powder 1482g,Household,3631,890100000090
91,Chase Up Cheese 414ml,Dairy,808,890100000091
92,Happy Farm Milk Powder 1349ml,Dairy,1953,890100000092
93,Happy Farm Coffee 1254ml,Beverages,4294,890100000093
94,Gujranwala Energy Drink 677ml,Beverages,4943,890100000094
95,Gujranwala Milk Powder 269ml,Dairy,3067,890100000095
96,Sunflower Soap 1544g,Household,4234,890100000096
97,Happy Farm Coffee 841ml,Beverages,1197,890100000097
98,Nature's Best Sanitizer 1970g,Personal Care,3752,890100000098
99,Nestle Juice 1970ml,Beverages,1240,890100000099
100,Happy Farm Milk 1826ml,Dairy,2083,890100000100
101,Dairy Fresh Chocolate 161g,Snacks,1229,890100000101
102,Sunflower Biscuits 1439g,Snacks,4342,890100000102
103,Chase Up Basmati Rice 1618g,Grains & Rice,4914,890100000103
104,Dairy Fresh Juice 1657ml,Beverages,1258,890100000104
105,Nestle Cheese 1904ml,Dairy,1799,890100000105
106,Chase Up Milk Powder 204ml,Dairy,289,890100000106
107,Nestle Oats 1608g,Grains & Rice,1341,890100000107
108,Sunflower Cheese 721ml,Dairy,343,890100000108
109,Gujranwala Cleaning Powder 203g,Household,2964,890100000109
110,Sunflower Detergent 219g,Household,4157,890100000110
111,Nature's Best Cleaning Powder 784g,Household,1856,890100000111
112,Happy Farm Juice 1505ml,Beverages,4348,890100000112
113,Gujranwala Sanitizer 1604g,Personal Care,336,890100000113
114,Nestle Toothpaste 1428g,Personal Care,4044,890100000114
115,Happy Farm Soft Drink 1346ml,Beverages,2711,890100000115
116,Nestle Dishwashing Liquid 1490g,Household,3998,890100000116
117,Nestle Energy Drink 1131ml,Beverages,923,890100000117
118,Chase Up Nuts 1985g,Snacks,2103,890100000118
119,Dairy Fresh Lotion 687g,Personal Care,1213,890100000119
120,Happy Farm Corn Flour 1819g,Grains & Rice,4723,890100000120
121,Gujranwala Corn Flour 557g,Grains & Rice,1790,890100000121
122,Dairy Fresh Soft Drink 1687ml,Beverages,2318,890100000122
123,Nestle Yogurt 1274ml,Dairy,3049,890100000123
124,Chase Up Soft Drink 164ml,Beverages,4360,890100000124
125,Gujranwala Dishwashing Liquid 921g,Household,775,890100000125
126,Chase Up Corn Flour 1206g,Grains & Rice,344,890100000126
127,Sunflower Milk Powder 102ml,Dairy,458,890100000127
128,Dairy Fresh Tea 1433ml,Beverages,365,890100000128
129,Sunflower Nuts 1198g,Snacks,1091,890100000129
130,Sunflower Soft Drink 1537ml,Beverages,2502,890100000130
131,Dairy Fresh Nuts 1775g,Snacks,2382,890100000131
132,Nature's Best Chocolate 259g,Snacks,2448,890100000132
133,Sunflower Shampoo 1694g,Personal Care,2447,890100000133
134,Sunflower Basmati Rice 1732g,Grains & Rice,1462,890100000134
135,Sunflower Cheese 566ml,Dairy,4239,890100000135
